Kod;Skolenhetsnamn;Grund-skola;Förskole-klass;Fritids-hem
0114;Bollstanäs skola;Ja;Ja;Ja
0114;Breddenskolan;Ja;Ja;Ja
0114;Engelska skolan Upplands Väsby;Ja;Ja;Ja
0114;Frestaskolan;Ja;Ja;Ja
0114;Grimstaskolan;Ja;;
0114;Internationella Engelska Skolan Upplands Väsby;Ja;Ja;Ja
0114;Nordanskolan;Ja;;
0114;Odenskolan;Ja;Ja;Ja
0114;Resursskolan Magneten;Ja;Ja;Ja
0114;Runby skola;Ja;Ja;Ja
0114;Språk- och mottagningsenheten;;;
0114;Sverigefinska sk, Uppl Väsby;Ja;Ja;Ja
0114;Södervikskolan;Ja;;
0114;Thoren Framtid Sandbergska;Ja;Ja;Ja
0114;Vikskolan;Ja;Ja;Ja
0114;Vittra Väsby;Ja;Ja;Ja
0114;Vuxenutbildningen;;;
0114;Väsby gymn Vuxenutb. Särvux;;;
0114;Väsby Nya Gymnasium;;;
0114;Väsby skola;Ja;Ja;Ja
0114;Väsby Vuxenutbildning SFI;;;
0114;Väsby Yrkesgymnasium (Skolenhet: 54882637);;;
0115;Aktiviaskolan;Ja;;
0115;Aktiviaskolan Enhet Eken;Ja;;
0115;Atlas, resursklass;;;Ja
0115;Bällstabergsskolan;Ja;Ja;Ja
0115;Clavis, resursklass;;;Ja
0115;Gustav Vasaskolan;Ja;Ja;Ja
0115;Hagaskolan;Ja;Ja;Ja
0115;IKASUS;;Ja;Ja
0115;IKASUS gy;;;
0115;Karbyskolan;Ja;Ja;Ja
0115;Karlslundsskolan;Ja;Ja;Ja
0115;Kårsta skola;Ja;Ja;Ja
0115;Lovisedalsskolan;Ja;Ja;Ja
0115;Modersmålsunderv;;;
0115;Olympiaskolan;Ja;Ja;Ja
0115;Rosendalsskolan;Ja;Ja;Ja
0115;Topasen, resursklass;;;Ja
0115;Vallentuna Friskola;Ja;;
0115;Vallentuna gymnasium;;;
0115;Vallentuna internationella montessoriskola;Ja;Ja;Ja
0115;Vittra Vallentuna;Ja;Ja;Ja
0117;Akers Friskola;Ja;Ja;Ja
0117;Bergsättraskolan;Ja;Ja;Ja
0117;Fredsborgskolan;Ja;Ja;Ja
0117;Helleborusskolan Österåker;Ja;Ja;Ja
0117;Komvux i Österåkers kommun;;;
0117;Komvux i Österåkers kommun    SFI;;;
0117;Komvux i Österåkers kommun    Särvux;;;
0117;Ljusterö skola;Ja;Ja;Ja
0117;Margretelundsskolan;Ja;Ja;Ja
0117;Modersmålsundervisningen;;;
0117;Roslags Kulla skola;Ja;Ja;Ja
0117;Rydbo friskola;Ja;Ja;Ja
0117;Rydbo skola;Ja;Ja;Ja
0117;Röllingbyskolan ;Ja;Ja;Ja
0117;Sjökarbyskolan;Ja;Ja;Ja
0117;Skärgårdsgymnasiet;;;
0117;Skärgårdsstadsskolan;Ja;Ja;Ja
0117;Solbackens Montessori;Ja;Ja;Ja
0117;Solskiftesskolan;Ja;;Ja
0117;Söraskolan;Ja;Ja;Ja
0117;Tråsättraskolan;Ja;;
0117;Åkerstorpsskolan;Ja;Ja;Ja
0117;Österskärsskolan;Ja;Ja;Ja
0117;Österåkers gymnasium;;;
0120;Antistilla skola;Ja;Ja;Ja
0120;Brunns skola;Ja;Ja;Ja
0120;Djurö skola;Ja;Ja;Ja
0120;Ekedalsskolan;Ja;Ja;Ja
0120;Fågelvik skola;Ja;Ja;Ja
0120;Grantomta Montessoriskola;Ja;Ja;Ja
0120;Gustavsbergs gymnasium ,G2,;;;
0120;Hemmestaskolan;Ja;Ja;Ja
0120;Internationella Engelska Skolan Värmdö;Ja;Ja;Ja
0120;Komvux Värmdö;;;
0120;Kullsvedsskolan;;Ja;Ja
0120;Kullsvedsskolan, Grundskola;Ja;;Ja
0120;Kvarnsbergsskolan;Ja;;
0120;Kyrkskolan;Ja;Ja;Ja
0120;Lemshaga Akademi;Ja;Ja;Ja
0120;Munkmoraskolan;Ja;Ja;Ja
0120;Mälardalens Ridgymnasium Gustavsberg;;;
0120;Möja skola;Ja;Ja;Ja
0120;Runmarö skola;Ja;Ja;Ja
0120;Skolan LÄR;Ja;Ja;Ja
0120;Svartsö skola;Ja;Ja;Ja
0120;Viks skola;Ja;Ja;Ja
0120;Vuxenutbildningsenheten Värmdö;;;
0120;Värmdö gymnasium;;;
0120;Värmdö Tekniska gymnasieskola;;;
0120;Ösbyskolan;Ja;Ja;Ja
0123;Aspnässkolan;Ja;Ja;Ja
0123;Barkarbyskolan;Ja;Ja;Ja
0123;Berghemskolan;Ja;Ja;Ja
0123;Björkebyskolan;Ja;;
0123;Didaktus Jakobsberg;;;
0123;Fastebolskolan;Ja;Ja;Ja
0123;Fjällenskolan;Ja;Ja;Ja
0123;Herrestaskolan;Ja;Ja;Ja
0123;Högbyskolan;Ja;Ja;Ja
0123;Iljansbodaskolan;Ja;Ja;Ja
0123;Internationella Engelska Skolan Järfälla;Ja;;
0123;Järfälla Barn och Elevhälsa;;;
0123;Järfälla gymnasium;;;
0123;Järfälla Lärcentrum;;;
0123;Järfälla Språkcentrum;;;
0123;Kolarängskolan;Ja;Ja;Ja
0123;Kommunala vuxenutbildningen;;;
0123;Kvarnskolan;Ja;;
0123;Källtorpskolan;Ja;;
0123;Lundskolan;Ja;Ja;Ja
0123;Montessoriskolan Växthuset;Ja;Ja;Ja
0123;Neptuniskolan;Ja;Ja;Ja
0123;Olovslundskolan;Ja;Ja;Ja
0123;Sandvikskolan;Ja;Ja;Ja
0123;Skälbyskolan;Ja;Ja;Ja
0123;Tallbohovskolan;Ja;Ja;Ja
0123;Ulvsättraskolan;Ja;Ja;Ja
0123;Vattmyraskolan;Ja;Ja;Ja
0123;Viksjöskolan;Ja;;
0123;Vittra Jakobsberg;Ja;Ja;Ja
0123;Ålstaskolan;Ja;Ja;Ja
0125;Birkaskolan;Ja;Ja;Ja
0125;Central Insamlingsenhet Kommunal verksamhet;;;
0125;Drottningholmskolan;Ja;Ja;Ja
0125;Ekebyhovskolan;Ja;Ja;Ja
0125;Ekerö komvux;;;
0125;Färentuna skola;Ja;Ja;Ja
0125;Individuella Gymnasiet;;;
0125;Modersmålsundervisningen;;;
0125;Munsö skola;Ja;Ja;Ja
0125;Närlundaskolan;Ja;Ja;Ja
0125;Sanduddens skola;Ja;Ja;Ja
0125;Skå skola;Ja;Ja;Ja
0125;Stenhamraskolan;Ja;Ja;Ja
0125;Sundby skola;Ja;Ja;Ja
0125;Tappströmsskolan;Ja;;
0125;Träkvista skola;Ja;Ja;Ja
0125;Uppgårdskolan;Ja;;
0126;Annerstaskolan;Ja;Ja;Ja
0126;Astar Solna;;;
0126;Balingsnässkolan;Ja;Ja;Ja
0126;Edboskolan;Ja;Ja;Ja
0126;Folkuniversitetet;;;
0126;Glömstaskolan;Ja;Ja;Ja
0126;Grindstuskolan;Ja;Ja;Ja
0126;Huddingegymnasiet;;;
0126;Hörningsnässkolan;Ja;Ja;Ja
0126;Internationella Engelska Skolan Huddinge;Ja;;
0126;Internationella Engelska Skolan Länna;Ja;;
0126;Iris Flemingsberg;;;
0126;Iris Liljheholmen;;;
0126;Juringe Skola;Ja;Ja;Ja
0126;Komvux;;;
0126;Kräpplaskolan;Ja;Ja;Ja
0126;Kungsklippeskolan;Ja;Ja;Ja
0126;Kvarnbergsskolan;Ja;;
0126;Källbrinksskolan;Ja;;
0126;Kästaskolan;Ja;Ja;Ja
0126;Lindskolan;;Ja;Ja
0126;Långsjöskolan;Ja;Ja;Ja
0126;Modersmålslärare;;;
0126;Movant;;;
0126;Myrstugubergets Friskola;Ja;Ja;Ja
0126;Myrängsskolan;Ja;Ja;Ja
0126;Mörtviksskolan;Ja;Ja;Ja
0126;NTI Gymnasiet Södertörn;;;
0126;Rosenhillskolan;Ja;Ja;Ja
0126;Segeltorpsskolan;Ja;;Ja
0126;Sjödalsgymnasiet;;;
0126;Sjötorpsskolan;Ja;Ja;Ja
0126;Skansbergsskolan;Ja;Ja;Ja
0126;Skapaskolan;Ja;Ja;Ja
0126;Skogskällan;Ja;Ja;Ja
0126;Snättringeskolan;Ja;Ja;Ja
0126;Solfagraskolan;Ja;Ja;Ja
0126;Stenmoskolan;Ja;Ja;Ja
0126;Stensängsskolan;Ja;Ja;Ja
0126;SVOK Flemingsberg;;;
0126;Sågbäcksgymnasiet;;;
0126;Södertörns friskola;Ja;;
0126;Tomtbergaskolan;Ja;Ja;Ja
0126;Trångsundsskolan;Ja;Ja;Ja
0126;Utsäljeskolan;Ja;Ja;Ja
0126;Widerströmska gymnasiet;;;
0126;Vistaskolan;Ja;Ja;Ja
0126;Visättraskolan;Ja;Ja;Ja
0126;Vux Huddinge SFI;;;
0126;Vårbackaskolan;Ja;Ja;Ja
0126;Vårbyskolan;Ja;Ja;
0126;Yrkesgymnasiet Huddinge;;;
0126;Ängsnässkolan;Ja;;Ja
0126;Östra grundskolan;Ja;;
0126;Östra gymnasiet;;;
0127;Banslättsskolan;Ja;Ja;Ja
0127;Björkhaga Skola;Ja;Ja;Ja
0127;Björkhaga Skola SÄ;;;Ja
0127;Borgskolan;Ja;Ja;Ja
0127;Borgskolan F-klass Gul 1GR;;Ja;Ja
0127;Borgskolan särskola;;;Ja
0127;Borgsskolan Borggruppen 1GR;Ja;Ja;
0127;Botkyrka Friskola F-9;Ja;Ja;Ja
0127;Broängsskolan;Ja;Ja;Ja
0127;Brunnaskolan;Ja;Ja;Ja
0127;Brunnaskolan särskola;;;Ja
0127;Edessaskolan;Ja;Ja;Ja
0127;Eklidsskolan;Ja;Ja;Ja
0127;Falkbergsskolan;Ja;;
0127;Falkbergsskolan klass 6-9 A 1GR;Ja;;
0127;Fittjaskolan Botkyrka Norra;Ja;Ja;Ja
0127;Fittjaskolan Botkyrka Norra särskola;;;Ja
0127;Fittjaskolan Lilla Aspen 1GR;Ja;;
0127;Freinetskolan Kastanjen;Ja;Ja;Ja
0127;Grindtorpsskolan;Ja;Ja;Ja
0127;Hammerstaskolan;Ja;Ja;Ja
0127;Hammerstaskolan Språkenhet 1GR;Ja;;
0127;JENSEN grundskola Kvarnsjön ;Ja;Ja;Ja
0127;Karsby International School;Ja;Ja;Ja
0127;Kassmyraskolan;Ja;Ja;Ja
0127;Kassmyraskolan särskola;;;Ja
0127;Kunskapsskolan Tumba;Ja;;
0127;Kvarnhagsskolan;Ja;Ja;Ja
0127;Kvarnhagsskolan särskola;;;
0127;Malmsjö skola;Ja;Ja;Ja
0127;Min skola Norsborg;;;
0127;Parkhemsskolan;Ja;Ja;Ja
0127;Rikstens skola;Ja;Ja;Ja
0127;Rikstens skola Trampolinen 1GR;Ja;;
0127;S:t Botvids gymnasium;;;
0127;S:t Botvids gymnasium gy.sär;;;
0127;Skogsbacksskolan;Ja;Ja;Ja
0127;Skyttbrinks gymnasium;;;
0127;Storvretens Grundsärskola;;;Ja
0127;Storvretskolan;Ja;Ja;Ja
0127;Storvretskolan Aspen 1GR;Ja;;
0127;Sverigefinska skolan, Botkyrka;Ja;Ja;Ja
0127;Södertörns Gymnasium;;;
0127;Tallidsskolan;Ja;Ja;Ja
0127;Trädgårdsstadsskolan;Ja;Ja;Ja
0127;Tullinge gymnasium;;;
0127;Tullingebergs träningsskola;;;Ja
0127;Tullingebergsskolan;Ja;Ja;Ja
0127;Tumba gymnasium;;;
0127;Tunaskolan;Ja;Ja;Ja
0127;Vux1;;;
0127;Vux2;;;
0128;Noblaskolan Rönninge;Ja;Ja;Ja
0128;Nytorpsskolan;Ja;Ja;Ja
0128;Parkskolan;Ja;Ja;Ja
0128;Rönninge gymnasium;;;
0128;Rönninge skola;Ja;Ja;Ja
0128;Salems vuxenutbildning;;;
0128;Salemskolan;Ja;Ja;
0128;SFI Salem;;;
0128;Skogsängsskolan;Ja;Ja;Ja
0128;Säbyskolan;Ja;Ja;Ja
0128;Söderby friskola;Ja;Ja;Ja
0136;Berga naturbruksgymnasium;;;
0136;Brandbergsskolan;Ja;Ja;Ja
0136;Båtsmansskolan;Ja;Ja;Ja
0136;Centrum Vux;;;
0136;Dalarö skola;Ja;Ja;Ja
0136;Deltaskolan;Ja;;
0136;Eviaskolan (tidigare Funkis skola);Ja;;
0136;Flerspråkigt center;;;
0136;Fredrika Bremergymnasiet ;;;
0136;HagaLyckebyskolan;Ja;Ja;Ja
0136;Haninge Montessoriskola;Ja;Ja;Ja
0136;Höglundaskolan;Ja;Ja;Ja
0136;I Ur och Skur Mullebo;Ja;Ja;Ja
0136;Kvarnbäcksskolan;Ja;Ja;Ja
0136;Montessoriskolan Fredsduvan;Ja;Ja;Ja
0136;Muskö skola;Ja;Ja;Ja
0136;Måsöskolan;Ja;Ja;Ja
0136;Nakterhusskolan;Ja;Ja;Ja
0136;Ornö skola;Ja;Ja;Ja
0136;Ribbybergsskolan;Ja;Ja;Ja
0136;Ribbyskolan;Ja;Ja;Ja
0136;Riksäpplet;;;
0136;Rodrets friskola;Ja;Ja;Ja
0136;Rudanskolan;Ja;Ja;Ja
0136;Runstensskolan;Ja;Ja;Ja
0136;Svartbäcksskolan;Ja;Ja;Ja
0136;Söderby skola;Ja;Ja;Ja
0136;Söderbymalmsskolan;Ja;;
0136;Tungelsta skola;Ja;Ja;Ja
0136;Utö skola;Ja;Ja;Ja
0136;Vendelsö Hage;Ja;Ja;Ja
0136;Vendelsömalmsskolan;Ja;Ja;Ja
0136;Vikingaskolan;Ja;Ja;Ja
0136;Västerhaninge Montessoriskola;Ja;Ja;Ja
0136;Västra Ekoskolan;Ja;Ja;Ja
0136;Åbyskolan;Ja;Ja;Ja
0136;Övrig centralt anställda pedagoger;;;
0138;Bergfotens skola;Ja;Ja;Ja
0138;Brevik skola;Ja;Ja;Ja
0138;C3L Tyresö komvux;;;
0138;Dalskolan;Ja;;
0138;Fornuddens skola;Ja;Ja;Ja
0138;Fårdala skola;Ja;Ja;Ja
0138;Hanvikens skola;Ja;Ja;Ja
0138;Internationella Engelska Skolan Tyresö;Ja;;
0138;Krusboda skola;Ja;Ja;Ja
0138;Kumla skola;Ja;Ja;Ja
0138;Modersmålsundervisningen;;;
0138;Njupkärrs skola;Ja;Ja;Ja
0138;Nyboda grundsärskola;;;
0138;Nyboda skola;Ja;;
0138;Sofiebergsskolan;Ja;Ja;Ja
0138;Stimmets grundsärskola;;;
0138;Stimmets skola;Ja;Ja;Ja
0138;Strandskolan;Ja;Ja;Ja
0138;Tyresö Gymnasium 1;;;
0138;Tyresö gymnasium sär;;;
0138;Tyresö kommun särvux;;;
0138;Tyresö kommun, SFI;;;
0138;Tyresö Montessoriskola;Ja;Ja;Ja
0138;Tyresö skola;Ja;Ja;Ja
0139;Bergaskolan;Ja;Ja;Ja
0139;Broskolan;Ja;;
0139;Brunnaskolan;Ja;Ja;Ja
0139;Ekhammarskolan;Ja;;Ja
0139;Finnstaskolan;Ja;Ja;Ja
0139;Hagnässkolan;Ja;;Ja
0139;Härneviskolan;Ja;Ja;Ja
0139;JENSEN grundskola Bro-Mälarstrand;Ja;Ja;Ja
0139;Kungsskolan;Ja;Ja;Ja
0139;Källskolan 6-9;Ja;;
0139;Källskolan F-5;Ja;Ja;Ja
0139;Lillsjöskolan;Ja;Ja;Ja
0139;Råbyskolan;Ja;Ja;Ja
0139;Tjustaskolan;Ja;Ja;Ja
0139;Upplands-Bro SFI-enheten;;;
0139;Upplands-Bro vuxenutbildning;;;
0139;Upplands-Brogymnasiet;;;
0139;Urfjälls Montessoriskola;Ja;Ja;Ja
0140;Björkestaskolan;Ja;Ja;Ja
0140;Furuborgskolan;Ja;Ja;Ja
0140;Lillhagaskolan;Ja;;
0140;Praktiska Gymnasiet Nykvarn;;;
0140;Turingeskolan;Ja;Ja;Ja
0160;Brinkskolan;Ja;Ja;Ja
0160;Byleskolan;Ja;Ja;Ja
0160;Byängsskolan;Ja;Ja;Ja
0160;Capellaskolan Dibber;Ja;Ja;Ja
0160;Central Insamlingsenhet;;;
0160;Drakskeppsskolan;Ja;Ja;Ja
0160;Ellagårdsskolan;Ja;Ja;Ja
0160;Futuraskolan International Bergtorp;Ja;;
0160;Helleborusskolan Täby AB;Ja;Ja;Ja
0160;Hägerneholmsskolan;Ja;Ja;Ja
0160;Internationella Engelska Skolan Täby;Ja;;
0160;Kunskapscentrum Nordost;;;
0160;Kunskapscentrum Nordost SFI;;;
0160;Kunskapsskolan Täby;Ja;;
0160;Kyrkskolan;Ja;Ja;Ja
0160;Mellansjö grundsärskola;;;
0160;Mellansjö skola;Ja;;Ja
0160;Mimers Gymnasium Täby;;;
0160;Myrängsskolan;Ja;Ja;Ja
0160;Noblaskolan Täby;Ja;Ja;Ja
0160;Norskolan;Ja;Ja;Ja
0160;Nytorpsskolan ;Ja;;
0160;Näsbydalskolan;Ja;;
0160;Näsbyparksskolan;Ja;;Ja
0160;Praktiska Gymnasiet Täby;;;
0160;Runborg Dibber;Ja;Ja;Ja
0160;Rösjöskolan;Ja;Ja;Ja
0160;Skarpängsskolan;Ja;;
0160;Skolhagenskolan;Ja;;
0160;Slottsparksskolan;Ja;Ja;Ja
0160;Sparre Gymnasium;;;
0160;Spirande lärande i Täby AB;Ja;Ja;Ja
0160;Svalnäs skola;Ja;;
0160;Tibble Gymnasium Campus Täby;;;
0160;Täby Enskilda gymnasium;;;
0160;Täby Friskola-Enhagen;Ja;;
0160;Täby Friskola-Hägernäs;Ja;Ja;Ja
0160;Täby Friskola-Lilla Gribbylund/Gribbylund;Ja;Ja;Ja
0160;Täby Friskola-Ljungmyr;Ja;Ja;Ja
0160;Täby Friskola-Ullna Strand;Ja;Ja;Ja
0160;Täby Lärvux;;;
0160;Täby språkintroduktion;;;
0160;Täby Yrkesgymnasium;;;
0160;Vallatorpsskolan;Ja;Ja;Ja
0160;Viggbyskolan;Ja;Ja;Ja
0160;Ytterbyskolan;Ja;Ja;Ja
0160;Åva gymnasium;;;
0160;Ängsholmsskolan - Täby grundsärskola;;;
0160;Ängsholmsskolan - Täby gymnasiesärskola;;;
0162;Baldersskolan;Ja;Ja;Ja
0162;British International School;Ja;;
0162;Danderyds Gymnasium ;;;
0162;Danderyds Gymnasium Gymnasiesärskola;;;
0162;Danderyds Montessoriskola;Ja;Ja;Ja
0162;Ekebyskolan;Ja;Ja;Ja
0162;Elevverket;Ja;Ja;Ja
0162;Enebybergs skola;Ja;Ja;Ja
0162;Enheten för flerspråkighet;;;
0162;Fribergaskolan;Ja;;
0162;Kevinge grundsärskola;;;
0162;Kevingeskolan;Ja;Ja;Ja
0162;Kyrkskolan;Ja;Ja;Ja
0162;Långängsskolan;Ja;Ja;Ja
0162;Marina läroverket i Danderyd;;;
0162;Mörbyskolan;Ja;;
0162;Stocksundsskolan;Ja;Ja;Ja
0162;Vasaskolan;Ja;Ja;Ja
0162;Vendestigens skola;Ja;Ja;Ja
0162;Viktor Rydberg gy. Djursholm;;;
0162;Viktor Rydbergs Samskola;Ja;;
0162;Äventyrsskolan, Danderyd;;;Ja
0162;Ösbyskolan;Ja;Ja;Ja
0163;Brage- skola och språkförskola;Ja;Ja;Ja
0163;Consensum Gymnasium Sollentuna;;;
0163;Dibber International School Sollentuna ;Ja;Ja;Ja
0163;Edsbergsskolan;Ja;;
0163;Eductus SFI;;;
0163;Futuraskolan International Hertig Karl;Ja;Ja;Ja
0163;Futuraskolan International Rådan;Ja;Ja;Ja
0163;Gillbo-Gröndalsskolan;Ja;Ja;Ja
0163;Gärdesskolan;Ja;Ja;Ja
0163;Helenelundsskolan;Ja;Ja;Ja
0163;Häggvik- Skälbyskolan ;Ja;Ja;Ja
0163;Häggviks Gymnasiesärskola;;;
0163;Häggviks Gymnasium;;;
0163;Järva VIP För- och Grundsärskola;;Ja;Ja
0163;Järva VIP Gymnasiesärskola;;;
0163;KLARA Teoretiska Gymnasium Sollentuna;;;
0163;Kunskapsparken SFI;;;
0163;Kunskapsparken Vuxenutbildning;;;
0163;Kärrdalsskolan;Ja;Ja;Ja
0163;Mikaelskolan;Ja;Ja;Ja
0163;Norra Strand Dibber;Ja;Ja;Ja
0163;NTI Gymnasiet Sollentuna;;;
0163;Rudbeck AST-enheten ;;;
0163;Rudbeck Ekonomiprogrammet;;;
0163;Rudbeck El- och Teknikprogrammet;;;
0163;Rudbeck Humanistiska och Estetiska programmet ;;;
0163;Rudbeck Introduktionsprogrammet och Löpargymnasiet;;;
0163;Rudbeck Naturvetenskapsprogrammet;;;
0163;Rudbeck Samhällsvetenskapsprogrammet;;;
0163;Runbackaskolan;Ja;Ja;Ja
0163;Rälsen AB i Norrviken;Ja;Ja;Ja
0163;Rälsen AB i Viby;Ja;Ja;Ja
0163;Rälsen AB åk 4-9;Ja;;Ja
0163;Rösjöskolan;Ja;Ja;Ja
0163;Silverbäcken Dibber;Ja;Ja;Ja
0163;Silverdalsskolan;Ja;Ja;Ja
0163;Snäckbacken särskola Dibber;;Ja;Ja
0163;Sofielundsskolan;Ja;Ja;Ja
0163;Sollentuna musikklasser;Ja;;Ja
0163;Språkenheten (CIFS, Modersmålslärare);;;
0163;Stallets Skola;Ja;Ja;Ja
0163;Stockholm International Academy Häggvik;Ja;Ja;Ja
0163;Tegelhagens skola;Ja;Ja;Ja
0163;Turebergsskolan ;Ja;Ja;Ja
0163;Töjnaskolan;Ja;Ja;Ja
0163;Vaxmoraskolan;Ja;Ja;Ja
0163;Vibyskolan;Ja;Ja;Ja
0163;Vittra Rösjötorp;Ja;Ja;Ja
0163;Vittra Sollentuna;Ja;Ja;Ja
0163;Yrkesgymnasiet Sollentuna;;;
0163;Överby fritidshem;;;Ja
0180;Abrahamsbergsskolan;Ja;Ja;Ja
0180;Adolf Fredriks musikklasser;Ja;;
0180;Adolfsbergsskolan;Ja;Ja;Ja
0180;Akalla grundskola F-9;Ja;Ja;Ja
0180;Alla Nationers Fria Skola;Ja;Ja;Ja
0180;Almaskolan;Ja;;
0180;Alternativ sfi ;;;
0180;Alviksskolan;Ja;Ja;Ja
0180;Amerikanska Gymnasiet Stockholm;;;
0180;Anna Whitlocks gymnasium 54040574;;;
0180;Apolloniaskolan;Ja;Ja;Ja
0180;Askebyskolan;Ja;Ja;Ja
0180;Aspdammskolan;Ja;;
0180;Aspuddens skola;Ja;Ja;Ja
0180;Backluraskolan;Ja;Ja;Ja
0180;Bagarmossens skola;Ja;Ja;Ja
0180;Bandhagens skola;Ja;Ja;Ja
0180;Banérportsskolan;Ja;Ja;Ja
0180;Beckombergaskolan;Ja;Ja;Ja
0180;Bergstrands Gymnasium Stockholm;;;
0180;Bergsundsskolan;Ja;Ja;Ja
0180;Bernadottegymnasiet 77176811;;;
0180;Björkhagens skola;Ja;Ja;Ja
0180;Björnbodaskolan;Ja;Ja;Ja
0180;Björngårdsskolan;Ja;Ja;Ja
0180;Blackebergs gymnasium 85152591;;;
0180;Blackebergsskolan;Ja;Ja;Ja
0180;Blommensbergsskolan;Ja;;
0180;Bobergsskolan;Ja;Ja;Ja
0180;Bredängsskolan;Ja;Ja;Ja
0180;Bromma Enskilda Skola ek.fören.;Ja;Ja;Ja
0180;Bromma gymnasium 54117171;;;
0180;Bromma kyrkskola;Ja;Ja;Ja
0180;Bromstensskolan;Ja;Ja;Ja
0180;Brotorpsskolan;Ja;Ja;Ja
0180;Bulten Fritids;;;Ja
0180;Bäckahagens skola;Ja;Ja;Ja
0180;Campus Manilla;Ja;Ja;Ja
0180;Campus Manilla Gymnasium;;;
0180;Carlssons skola;Ja;Ja;Ja
0180;Central Insamlingsenhet Enskild verksamhet ;;;
0180;Cordoba International School;Ja;Ja;Ja
0180;Cybergymnasiet Stockholm;;;
0180;Dansgymnasiet Stockholm;;;
0180;Designgymnasiet Kungsholmen;;;
0180;Didaktus Liljeholmen;;;
0180;Distra Gymnasium;;;
0180;Distra IRS;Ja;;
0180;Djurgymnasiet Stockholm;;;
0180;Djurgårdsskolan;Ja;Ja;Ja
0180;Drottning Blankas Gymnasieskola Stockholm Kungsholmen;;;
0180;Drottning Blankas Gymnasieskola Stockholm Södra;;;
0180;Eiraskolan;Ja;Ja;Ja
0180;Ekens skola;Ja;;
0180;Ekensbergsskolan;Ja;Ja;Ja
0180;Ekholmsskolan;Ja;Ja;Ja
0180;Elektrikergymnasiet;;;
0180;Elinsborgsskolan;Ja;Ja;Ja
0180;Ellen Key skolan;Ja;Ja;Ja
0180;Enbacksskolan;Ja;Ja;Ja
0180;Engelbrektsskolan;Ja;Ja;Ja
0180;Engelska Skolan Norr;Ja;Ja;Ja
0180;Engelska Skolan Novia;Ja;Ja;Ja
0180;Enskede byskola;Ja;Ja;Ja
0180;Enskede skola;Ja;Ja;Ja
0180;Enskedefältets skola;Ja;Ja;Ja
0180;Enskilda gymnasiet, gr;Ja;;
0180;Enskilda gymnasiet, gy;;;
0180;Entréskolan Stockholm;Ja;;
0180;Eriksdalsskolan;Ja;Ja;Ja
0180;ESS-gymnasiet 84286715;;;
0180;Essingeskolan;Ja;Ja;Ja
0180;Estniska Skolan i Stockholm;Ja;Ja;Ja
0180;Europaskolan;Ja;Ja;Ja
0180;Fagersjöskolan;Ja;Ja;Ja
0180;Farsta grundskola;Ja;Ja;Ja
0180;Farsta Strandsskolan;Ja;Ja;Ja
0180;Farstaängsskolan;Ja;Ja;Ja
0180;Filosofiska;Ja;Ja;Ja
0180;Framstegsskolan i Stockholm;Ja;Ja;Ja
0180;Franska Skolan/Ecole francaise;Ja;Ja;Ja
0180;Franska Skolan/Ecole francaise Gymnasium;;;
0180;Fredrikshovs slotts skola;Ja;Ja;Ja
0180;Fria Maria Barnskola;Ja;Ja;Ja
0180;Friskolan Hästens;Ja;Ja;Ja
0180;Fruängens skola;Ja;Ja;Ja
0180;Fryshuset Akademiska Järva;Ja;Ja;Ja
0180;Fryshuset Grundskola Västra;Ja;;
0180;Fryshusets grundskola, Sthlm;Ja;;
0180;Futuraskolan International School of Stockholm;Ja;;Ja
0180;Futuraskolan International Stockholm;Ja;Ja;Ja
0180;Förskola Skola Via Emilia;Ja;Ja;Ja
0180;Globala gymnasiet 76054399;;;
0180;Grillska Gymnasiesärskolan;;;
0180;Grillska Gymnasiet Kungsholmen;;;
0180;Grillska Gymnasiet Stockholm;;;
0180;Grimstaskolan;Ja;Ja;Ja
0180;Grundskolan Metapontum;Ja;Ja;Ja
0180;Gröndalsskolan;Ja;Ja;Ja
0180;Gubbängsskolan;Ja;Ja;Ja
0180;Gullingeskolan;Ja;Ja;Ja
0180;Gustav Vasa skola;Ja;Ja;Ja
0180;Gärdesskolan;Ja;Ja;Ja
0180;Hagsätraskolan;Ja;Ja;Ja
0180;Hammarbyskolan Norra;Ja;Ja;Ja
0180;Hammarbyskolan Södra;Ja;Ja;Ja
0180;Hamnskolan;Ja;Ja;Ja
0180;Hamnskolans Högstadium;Ja;;
0180;Hedvig Eleonora skola;Ja;Ja;Ja
0180;Hermods Distansgymnasium;;;
0180;Herrängens skola;Ja;Ja;Ja
0180;Hillelskolan;Ja;Ja;Ja
0180;Hjulsta grundskola F-9;Ja;Ja;Ja
0180;Husbygårdsskolan F-9;Ja;Ja;Ja
0180;Hvilan Gymnasium Stockholm;;;
0180;Hägerstenshamnens skola;Ja;Ja;Ja
0180;Hägerstensåsens skola;Ja;Ja;Ja
0180;Hällsboskolan Kungsholmen;;;Ja
0180;Hällsboskolan Mälarhöjden;;Ja;Ja
0180;Hässelby Villastads skola;Ja;Ja;Ja
0180;Hässelbygårdsskolan;Ja;Ja;Ja
0180;Högalidsskolan;Ja;Ja;Ja
0180;Höglandsskolan;Ja;Ja;Ja
0180;Hökarängsskolan;Ja;Ja;Ja
0180;I Ur och Skur Mullekojan;Ja;Ja;Ja
0180;International IT College of Sweden Stockholm;;;
0180;International School of the Stockholm Region;Ja;;
0180;International School of the Stockholm Region 25525759;;;
